State,Year,Excessive drinking,Median household income
MN,1/1/2014,,52892
MN,1/1/2015,,56397
MN,1/1/2014,0.199,44229
MN,1/1/2015,0.199,46940
MN,1/1/2014,0.091,48993
MN,1/1/2015,0.091,53290
MN,1/1/2014,,44299
MN,1/1/2015,,48458
MN,1/1/2014,0.195,43762
MN,1/1/2015,0.195,44817
MN,1/1/2014,0.268,50963
MN,1/1/2015,0.268,46805
MN,1/1/2014,,49369
MN,1/1/2015,,50875
MN,1/1/2014,,41084
MN,1/1/2015,,42644
MN,1/1/2014,0.182,58326
MN,1/1/2015,0.182,60190
MN,1/1/2014,0.269,43959
MN,1/1/2015,0.269,48205
MN,1/1/2014,0.259,48753
MN,1/1/2015,0.259,51011
MN,1/1/2014,0.423,37754
MN,1/1/2015,0.423,39706
MN,1/1/2014,0.239,52791
MN,1/1/2015,0.239,53692
MN,1/1/2014,0.194,47212
MN,1/1/2015,0.194,51118
MN,1/1/2014,0.175,54231
MN,1/1/2015,0.175,54971
MN,1/1/2014,0.23,50174
MN,1/1/2015,0.23,55327
MN,1/1/2014,0.234,45101
MN,1/1/2015,0.234,48978
MN,1/1/2014,0.228,48387
MN,1/1/2015,0.228,48716
MN,1/1/2014,,46315
MN,1/1/2015,,50479
MN,1/1/2014,,50353
MN,1/1/2015,,53300
MN,1/1/2014,0.156,58882
MN,1/1/2015,0.156,58620
MN,1/1/2014,0.094,47713
MN,1/1/2015,0.094,50936
MN,1/1/2014,0.252,45043
MN,1/1/2015,0.252,45276
MN,1/1/2014,0.143,64385
MN,1/1/2015,0.143,65829
MN,1/1/2014,0.197,50645
MN,1/1/2015,0.197,48157
MN,1/1/2014,0.203,46483
MN,1/1/2015,0.203,47300
MN,1/1/2014,0.207,45943
MN,1/1/2015,0.207,43026
MN,1/1/2014,,47143
MN,1/1/2015,,47613
MN,1/1/2014,0.276,47679
MN,1/1/2015,0.276,52706
MN,1/1/2014,0.21,50692
MN,1/1/2015,0.21,55404
MN,1/1/2014,0.163,53707
MN,1/1/2015,0.163,56293
MN,1/1/2014,,45228
MN,1/1/2015,,45019
MN,1/1/2014,0.226,48775
MN,1/1/2015,0.226,50453
MN,1/1/2014,,50502
MN,1/1/2015,,53823
MN,1/1/2014,0.142,59332
MN,1/1/2015,0.142,58644
MN,1/1/2014,0.174,51766
MN,1/1/2015,0.174,54045
MN,1/1/2014,0.144,53261
MN,1/1/2015,0.144,51576
MN,1/1/2014,0.223,86324
MN,1/1/2015,0.223,85481
MN,1/1/2014,0.234,69865
MN,1/1/2015,0.234,74915
MN,1/1/2014,0.253,53732
MN,1/1/2015,0.253,56007
MN,1/1/2014,0.186,46601
MN,1/1/2015,0.186,46022
MN,1/1/2014,0.21,53986
MN,1/1/2015,0.21,56705
MN,1/1/2014,0.164,56940
MN,1/1/2015,0.164,53932
MN,1/1/2014,,50832
MN,1/1/2015,,56140
MN,1/1/2014,0.189,48660
MN,1/1/2015,0.189,52083
MN,1/1/2014,0.172,46765
MN,1/1/2015,0.172,43974
MN,1/1/2014,,45907
MN,1/1/2015,,50451
MN,1/1/2014,0.164,55686
MN,1/1/2015,0.164,52617
MN,1/1/2014,,37577
MN,1/1/2015,,39805
MN,1/1/2014,0.266,52927
MN,1/1/2015,0.266,53448
MN,1/1/2014,0.207,80647
MN,1/1/2015,0.207,81052
MN,1/1/2014,0.258,47115
MN,1/1/2015,0.258,48064
MN,1/1/2014,,51940
MN,1/1/2015,,52849
MN,1/1/2014,0.202,49753
MN,1/1/2015,0.202,49636
MN,1/1/2014,0.236,72216
MN,1/1/2015,0.236,71999
MN,1/1/2014,0.246,53266
MN,1/1/2015,0.246,50311
MO,1/1/2014,0.196,32870
MO,1/1/2015,0.196,35282
MO,1/1/2014,0.192,55638
MO,1/1/2015,0.192,54185
MO,1/1/2014,,45187
MO,1/1/2015,,43215
MO,1/1/2014,0.153,38570
MO,1/1/2015,0.153,41164
MO,1/1/2014,0.159,34712
MO,1/1/2015,0.159,36573
MO,1/1/2014,,37460
MO,1/1/2015,,37723
MO,1/1/2014,0.192,39382
MO,1/1/2015,0.192,38586
MO,1/1/2014,0.163,32409
MO,1/1/2015,0.163,32563
MO,1/1/2014,,37664
MO,1/1/2015,,37627
MO,1/1/2014,0.149,45885
MO,1/1/2015,0.149,49118
MO,1/1/2014,0.155,41774
MO,1/1/2015,0.155,43461
MO,1/1/2014,0.113,34414
MO,1/1/2015,0.113,35381
MO,1/1/2014,,40814
MO,1/1/2015,,41546
MO,1/1/2014,0.178,44391
MO,1/1/2015,0.178,45573
MO,1/1/2014,0.15,41858
MO,1/1/2015,0.15,41314
MO,1/1/2014,0.113,45979
MO,1/1/2015,0.113,44248
MO,1/1/2014,,41139
MO,1/1/2015,,41279
MO,1/1/2014,,29156
MO,1/1/2015,,30017
MO,1/1/2014,0.157,56402
MO,1/1/2015,0.157,63031
MO,1/1/2014,,32077
MO,1/1/2015,,30816
MO,1/1/2014,0.197,41066
MO,1/1/2015,0.197,40352
MO,1/1/2014,0.18,52413
MO,1/1/2015,0.18,51394
MO,1/1/2014,,38650
MO,1/1/2015,,39712
MO,1/1/2014,0.173,58151
MO,1/1/2015,0.173,60641
MO,1/1/2014,,55392
MO,1/1/2015,,52461
MO,1/1/2014,0.205,51555
MO,1/1/2015,0.205,52023
MO,1/1/2014,0.242,42857
MO,1/1/2015,0.242,44397
MO,1/1/2014,,34840
MO,1/1/2015,,37299
MO,1/1/2014,,34416
MO,1/1/2015,,36720
MO,1/1/2014,,33997
MO,1/1/2015,,37540
MO,1/1/2014,0.178,39549
MO,1/1/2015,0.178,38332
MO,1/1/2014,,42004
MO,1/1/2015,,44286
MO,1/1/2014,,33413
MO,1/1/2015,,34761
MO,1/1/2014,,30550
MO,1/1/2015,,31289
MO,1/1/2014,,29976
MO,1/1/2015,,32050
MO,1/1/2014,0.142,45061
MO,1/1/2015,0.142,51138
MO,1/1/2014,0.148,40723
MO,1/1/2015,0.148,41270
MO,1/1/2014,,38661
MO,1/1/2015,,39265
MO,1/1/2014,0.118,40570
MO,1/1/2015,0.118,38525
MO,1/1/2014,,35256
MO,1/1/2015,,37172
MO,1/1/2014,0.197,37053
MO,1/1/2015,0.197,36229
MO,1/1/2014,,41189
MO,1/1/2015,,39666
MO,1/1/2014,,30163
MO,1/1/2015,,30040
MO,1/1/2014,,40036
MO,1/1/2015,,41213
MO,1/1/2014,0.223,37742
MO,1/1/2015,0.223,41356
MO,1/1/2014,0.126,32492
MO,1/1/2015,0.126,31665
MO,1/1/2014,,34913
MO,1/1/2015,,32994
MO,1/1/2014,0.154,44634
MO,1/1/2015,0.154,46802
MO,1/1/2014,0.138,37743
MO,1/1/2015,0.138,40530
MO,1/1/2014,0.234,53013
MO,1/1/2015,0.234,55305
MO,1/1/2014,0.199,44742
MO,1/1/2015,0.199,45011
MO,1/1/2014,,33164
MO,1/1/2015,,34894
MO,1/1/2014,,36670
MO,1/1/2015,,36632
MO,1/1/2014,0.169,46765
MO,1/1/2015,0.169,46878
MO,1/1/2014,,35385
MO,1/1/2015,,38724
MO,1/1/2014,0.152,41204
MO,1/1/2015,0.152,41187
MO,1/1/2014,0.178,53542
MO,1/1/2015,0.178,54144
MO,1/1/2014,0.191,36602
MO,1/1/2015,0.191,37773
MO,1/1/2014,,39399
MO,1/1/2015,,38839
MO,1/1/2014,0.173,36801
MO,1/1/2015,0.173,38110
MO,1/1/2014,,33280
MO,1/1/2015,,33631
MO,1/1/2014,,41258
MO,1/1/2015,,40404
MO,1/1/2014,0.114,40726
MO,1/1/2015,0.114,40981
MO,1/1/2014,,32618
MO,1/1/2015,,35915
MO,1/1/2014,,38007
MO,1/1/2015,,38726
MO,1/1/2014,0.135,36070
MO,1/1/2015,0.135,36552
MO,1/1/2014,,28412
MO,1/1/2015,,31421
MO,1/1/2014,,42684
MO,1/1/2015,,46123
MO,1/1/2014,0.212,39286
MO,1/1/2015,0.212,38940
MO,1/1/2014,0.211,39493
MO,1/1/2015,0.211,39750
MO,1/1/2014,0.17,33618
MO,1/1/2015,0.17,32761
MO,1/1/2014,,34544
MO,1/1/2015,,34927
MO,1/1/2014,0.14,41623
MO,1/1/2015,0.14,41440
MO,1/1/2014,0.156,40296
MO,1/1/2015,0.156,41952
MO,1/1/2014,,28146
MO,1/1/2015,,29464
MO,1/1/2014,0.322,49989
MO,1/1/2015,0.322,48990
MO,1/1/2014,,31430
MO,1/1/2015,,30799
MO,1/1/2014,,30295
MO,1/1/2015,,28664
MO,1/1/2014,0.189,47227
MO,1/1/2015,0.189,53798
MO,1/1/2014,0.114,37255
MO,1/1/2015,0.114,39527
MO,1/1/2014,0.143,38999
MO,1/1/2015,0.143,38930
MO,1/1/2014,0.184,38919
MO,1/1/2015,0.184,39499
MO,1/1/2014,0.218,67299
MO,1/1/2015,0.218,68411
MO,1/1/2014,0.173,37677
MO,1/1/2015,0.173,38023
MO,1/1/2014,0.217,46579
MO,1/1/2015,0.217,49499
MO,1/1/2014,,35217
MO,1/1/2015,,34106
MO,1/1/2014,,47429
MO,1/1/2015,,49393
MO,1/1/2014,0.173,38882
MO,1/1/2015,0.173,38988
MO,1/1/2014,0.126,48680
MO,1/1/2015,0.126,52430
MO,1/1/2014,,30093
MO,1/1/2015,,32089
MO,1/1/2014,0.223,29942
MO,1/1/2015,0.223,30843
MO,1/1/2014,0.178,38788
MO,1/1/2015,0.178,38230
MO,1/1/2014,,31833
MO,1/1/2015,,36029
MO,1/1/2014,,35365
MO,1/1/2015,,36511
MO,1/1/2014,0.139,38105
MO,1/1/2015,0.139,40441
MO,1/1/2014,,27750
MO,1/1/2015,,26538
MO,1/1/2014,,38301
MO,1/1/2015,,40420
MO,1/1/2014,0.229,70456
MO,1/1/2015,0.229,70468
MO,1/1/2014,,31503
MO,1/1/2015,,30612
MO,1/1/2014,0.169,35883
MO,1/1/2015,0.169,37696
MO,1/1/2014,0.201,56409
MO,1/1/2015,0.201,59284
MO,1/1/2014,0.231,32084
MO,1/1/2015,0.231,34346
MO,1/1/2014,0.171,48977
MO,1/1/2015,0.171,48266
MO,1/1/2014,0.177,38194
MO,1/1/2015,0.177,37689
MO,1/1/2014,0.166,39726
MO,1/1/2015,0.166,39018
MO,1/1/2014,,37056
MO,1/1/2015,,37039
MO,1/1/2014,0.103,35613
MO,1/1/2015,0.103,34860
MO,1/1/2014,0.114,32116
MO,1/1/2015,0.114,34266
MO,1/1/2014,0.184,38242
MO,1/1/2015,0.184,35090
MO,1/1/2014,,49068
MO,1/1/2015,,52517
MO,1/1/2014,,33397
MO,1/1/2015,,33491
MO,1/1/2014,,30729
MO,1/1/2015,,31208
MO,1/1/2014,,42285
MO,1/1/2015,,44069
MO,1/1/2014,,35127
MO,1/1/2014,,30349
MO,1/1/2015,,29605
MS,1/1/2014,0.126,29940
MS,1/1/2015,0.126,31385
MS,1/1/2014,0.092,35583
MS,1/1/2015,0.092,33467
MS,1/1/2014,0.085,32724
MS,1/1/2015,0.085,33571
MS,1/1/2014,0.081,33679
MS,1/1/2015,0.081,31644
MS,1/1/2014,,29037
MS,1/1/2015,,30198
MS,1/1/2014,0.096,28832
MS,1/1/2015,0.096,29622
MS,1/1/2014,,31353
MS,1/1/2015,,32656
MS,1/1/2014,0.119,36906
MS,1/1/2015,0.119,37283
MS,1/1/2014,,31601
MS,1/1/2015,,32525
MS,1/1/2014,0.108,32814
MS,1/1/2015,0.108,32922
MS,1/1/2014,,26152
MS,1/1/2015,,25438
MS,1/1/2014,0.102,33749
MS,1/1/2015,0.102,34141
MS,1/1/2014,0.054,30057
MS,1/1/2015,0.054,30935
MS,1/1/2014,0.121,25662
MS,1/1/2015,0.121,27500
MS,1/1/2014,0.142,31147
MS,1/1/2015,0.142,32060
MS,1/1/2014,,32932
MS,1/1/2015,,32999
MS,1/1/2014,0.12,55011
MS,1/1/2015,0.12,59043
MS,1/1/2014,0.123,32210
MS,1/1/2015,0.123,34391
MS,1/1/2014,0.129,31287
MS,1/1/2015,0.129,35963
MS,1/1/2014,,46194
MS,1/1/2015,,43597
MS,1/1/2014,,37234
MS,1/1/2015,,38192
MS,1/1/2014,0.122,32677
MS,1/1/2015,0.122,31703
MS,1/1/2014,0.136,41308
MS,1/1/2015,0.136,43870
MS,1/1/2014,0.154,40782
MS,1/1/2015,0.154,41657
MS,1/1/2014,0.135,34786
MS,1/1/2015,0.135,34826
MS,1/1/2014,0.091,22535
MS,1/1/2015,0.091,22674
MS,1/1/2014,,22945
MS,1/1/2015,,22599
MS,1/1/2015,,31254
MS,1/1/2014,0.069,36308
MS,1/1/2015,0.069,39927
MS,1/1/2014,0.13,45993
MS,1/1/2015,0.13,47813
MS,1/1/2014,0.06,31861
MS,1/1/2015,0.06,33606
MS,1/1/2014,0.088,24437
MS,1/1/2015,0.088,26401
MS,1/1/2014,,27098
MS,1/1/2015,,27754
MS,1/1/2014,0.07,35322
MS,1/1/2015,0.07,36204
MS,1/1/2014,,29162
MS,1/1/2015,,30849
MS,1/1/2014,0.139,40696
MS,1/1/2015,0.139,40749
MS,1/1/2014,0.111,48057
MS,1/1/2015,0.111,51337
MS,1/1/2014,0.099,35874
MS,1/1/2015,0.099,35038
MS,1/1/2014,0.118,35342
MS,1/1/2015,0.118,36317
MS,1/1/2014,0.115,30062
MS,1/1/2015,0.115,34099
MS,1/1/2014,0.092,41371
MS,1/1/2015,0.092,43221
MS,1/1/2014,0.134,25075
MS,1/1/2015,0.134,24704
MS,1/1/2014,0.08,35653
MS,1/1/2015,0.08,33632
MS,1/1/2014,0.136,36626
MS,1/1/2015,0.136,38839
MS,1/1/2014,0.149,60387
MS,1/1/2015,0.149,64657
MS,1/1/2014,0.125,31334
MS,1/1/2015,0.125,32628
MS,1/1/2014,0.163,33423
MS,1/1/2015,0.163,36728
MS,1/1/2014,0.063,36089
MS,1/1/2015,0.063,36264
MS,1/1/2014,0.121,29863
MS,1/1/2015,0.121,30128
MS,1/1/2014,0.075,34881
MS,1/1/2015,0.075,34719
MS,1/1/2014,0.104,33333
MS,1/1/2015,0.104,36904
MS,1/1/2014,,26021
MS,1/1/2015,,26459
MS,1/1/2014,0.098,32132
MS,1/1/2015,0.098,33594
MS,1/1/2014,0.119,33489
MS,1/1/2015,0.119,33129
MS,1/1/2014,0.128,36001
MS,1/1/2015,0.128,41706
MS,1/1/2014,,33667
MS,1/1/2015,,34771
MS,1/1/2014,0.105,32196
MS,1/1/2015,0.105,30835
MS,1/1/2014,0.102,39710
MS,1/1/2015,0.102,40245
MS,1/1/2014,0.088,33705
MS,1/1/2015,0.088,34219
MS,1/1/2014,,24117
MS,1/1/2015,,26100
MS,1/1/2014,0.128,56101
MS,1/1/2015,0.128,55838
MS,1/1/2014,0.079,32989
MS,1/1/2015,0.079,31850
MS,1/1/2014,,26139
MS,1/1/2015,,27380
MS,1/1/2014,0.077,34538
MS,1/1/2015,0.077,35039
MS,1/1/2014,,34678
MS,1/1/2015,,36581
MS,1/1/2014,0.083,41097
MS,1/1/2015,0.083,40294
MS,1/1/2014,0.104,25272
MS,1/1/2015,0.104,28562
MS,1/1/2014,0.091,27121
MS,1/1/2015,0.091,29780
MS,1/1/2014,0.136,40811
MS,1/1/2015,0.136,40624
MS,1/1/2014,,34142
MS,1/1/2015,,35908
MS,1/1/2014,0.11,34223
MS,1/1/2015,0.11,35891
MS,1/1/2014,,30200
MS,1/1/2015,,30033
MS,1/1/2014,0.107,40337
MS,1/1/2015,0.107,40148
MS,1/1/2014,0.093,28920
MS,1/1/2015,0.093,30289
MS,1/1/2014,0.154,38911
MS,1/1/2015,0.154,41883
MS,1/1/2014,0.109,28444
MS,1/1/2015,0.109,28948
MS,1/1/2014,0.082,33140
MS,1/1/2015,0.082,31688
MS,1/1/2014,0.099,35278
MS,1/1/2015,0.099,34930
MS,1/1/2014,0.131,26894
MS,1/1/2015,0.131,26373
MS,1/1/2014,0.143,32128
MS,1/1/2015,0.143,30961
MS,1/1/2014,0.117,32164
MS,1/1/2015,0.117,32660
MS,1/1/2014,0.117,28499
MS,1/1/2015,0.117,28757
MT,1/1/2014,0.114,38381
MT,1/1/2015,0.114,40054
MT,1/1/2014,0.18,36322
MT,1/1/2015,0.18,38026
MT,1/1/2014,0.261,36250
MT,1/1/2015,0.261,35215
MT,1/1/2014,0.158,45833
MT,1/1/2015,0.158,46246
MT,1/1/2014,0.163,43641
MT,1/1/2015,0.163,46413
MT,1/1/2014,0.182,42192
MT,1/1/2015,0.182,43674
MT,1/1/2014,0.205,39833
MT,1/1/2015,0.205,41177
MT,1/1/2014,0.183,41059
MT,1/1/2015,0.183,43958
MT,1/1/2014,0.283,47421
MT,1/1/2014,0.168,47120
MT,1/1/2015,0.168,50650
MT,1/1/2014,0.179,36125
MT,1/1/2015,0.179,37542
MT,1/1/2014,0.239,50108
MT,1/1/2015,0.239,59083
MT,1/1/2014,0.173,40114
MT,1/1/2015,0.173,41111
MT,1/1/2014,0.183,45742
MT,1/1/2015,0.183,46885
MT,1/1/2014,0.218,51394
MT,1/1/2015,0.218,56680
MT,1/1/2014,0.207,34508
MT,1/1/2015,0.207,33648
MT,1/1/2014,0.227,39713
MT,1/1/2015,0.227,41391
MT,1/1/2014,0.248,41194
MT,1/1/2015,0.248,43244
MT,1/1/2014,0.166,59105
MT,1/1/2015,0.166,59001
MT,1/1/2014,0.238,38878
MT,1/1/2015,0.238,41731
MT,1/1/2014,0.189,33021
MT,1/1/2015,0.189,39219
MT,1/1/2014,0.179,54096
MT,1/1/2015,0.179,53982
MT,1/1/2014,0.154,34764
MT,1/1/2015,0.154,34926
MT,1/1/2014,0.199,41367
MT,1/1/2015,0.199,44046
MT,1/1/2014,0.141,32643
MT,1/1/2015,0.141,35694
MT,1/1/2014,0.147,33935
MT,1/1/2015,0.147,36169
MT,1/1/2014,0.221,44320
MT,1/1/2015,0.221,45895
MT,1/1/2014,0.178,39474
MT,1/1/2015,0.178,39403
MT,1/1/2014,0.161,40399
MT,1/1/2015,0.161,42439
MT,1/1/2014,0.184,38913
MT,1/1/2015,0.184,40202
MT,1/1/2014,0.208,37441
MT,1/1/2015,0.208,40694
MT,1/1/2014,0.182,37323
MT,1/1/2015,0.182,39820
MT,1/1/2015,0.142,41843
MT,1/1/2014,0.183,38445
MT,1/1/2015,0.183,39487
MT,1/1/2014,0.201,56492
MT,1/1/2015,0.201,64171
MT,1/1/2014,0.234,34278
MT,1/1/2015,0.234,34291
MT,1/1/2014,0.204,49212
MT,1/1/2015,0.204,50597
MT,1/1/2014,0.158,33598
MT,1/1/2015,0.158,34847
MT,1/1/2014,0.179,47842
MT,1/1/2015,0.179,50292
MT,1/1/2014,0.189,39835
MT,1/1/2015,0.189,40691
MT,1/1/2014,0.22,54994
MT,1/1/2015,0.22,58109
MT,1/1/2014,0.225,43193
MT,1/1/2015,0.225,43146
MT,1/1/2014,0.161,41236
MT,1/1/2015,0.161,43828
MT,1/1/2014,0.209,42057
MT,1/1/2015,0.209,44252
MT,1/1/2014,0.215,41694
MT,1/1/2015,0.215,45747
MT,1/1/2014,0.222,30385
MT,1/1/2015,0.222,32519
MT,1/1/2014,0.161,49405
MT,1/1/2015,0.161,52079
NC,1/1/2014,0.123,41394
NC,1/1/2015,0.123,43001
NC,1/1/2014,0.119,39655
NC,1/1/2015,0.119,46064
NC,1/1/2014,0.165,34046
NC,1/1/2015,0.165,37086
NC,1/1/2014,,32339
NC,1/1/2015,,33443
NC,1/1/2014,0.086,34080
NC,1/1/2015,0.086,35155
NC,1/1/2014,,34727
NC,1/1/2015,,34933
NC,1/1/2014,,38256
NC,1/1/2015,,39043
NC,1/1/2014,,30414
NC,1/1/2015,,31610
NC,1/1/2014,,32766
NC,1/1/2015,,33971
NC,1/1/2014,0.147,48624
NC,1/1/2015,0.147,47799
NC,1/1/2014,0.136,43146
NC,1/1/2015,0.136,45738
NC,1/1/2014,0.075,38581
NC,1/1/2015,0.075,36150
NC,1/1/2014,0.142,55531
NC,1/1/2015,0.142,55046
NC,1/1/2014,0.091,35127
NC,1/1/2015,0.091,34811
NC,1/1/2014,,53563
NC,1/1/2015,,60537
NC,1/1/2014,0.21,48930
NC,1/1/2015,0.21,46227
NC,1/1/2014,,39615
NC,1/1/2015,,37122
NC,1/1/2014,0.126,42080
NC,1/1/2015,0.126,43777
NC,1/1/2014,0.172,55371
NC,1/1/2015,0.172,56981
NC,1/1/2014,0.091,31370
NC,1/1/2015,0.091,34476
NC,1/1/2014,,37458
NC,1/1/2015,,39143
NC,1/1/2014,,36871
NC,1/1/2015,,37078
NC,1/1/2014,0.096,38265
NC,1/1/2015,0.096,40528
NC,1/1/2014,,33765
NC,1/1/2015,,35026
NC,1/1/2014,0.119,47087
NC,1/1/2015,0.119,45022
NC,1/1/2014,0.113,45110
NC,1/1/2015,0.113,44038
NC,1/1/2014,0.274,54822
NC,1/1/2015,0.274,57577
NC,1/1/2014,0.284,51900
NC,1/1/2015,0.284,52083
NC,1/1/2014,0.145,43824
NC,1/1/2015,0.145,40424
NC,1/1/2014,0.122,49984
NC,1/1/2015,0.122,49708
NC,1/1/2014,0.121,36075
NC,1/1/2015,0.121,38106
NC,1/1/2014,0.149,50889
NC,1/1/2015,0.149,52331
NC,1/1/2014,,32002
NC,1/1/2015,,33080
NC,1/1/2014,0.119,43049
NC,1/1/2015,0.119,46163
NC,1/1/2014,0.166,42346
NC,1/1/2015,0.166,39312
NC,1/1/2014,0.123,41614
NC,1/1/2015,0.123,42461
NC,1/1/2014,,44273
NC,1/1/2015,,48194
NC,1/1/2014,,32883
NC,1/1/2015,,33553
NC,1/1/2014,0.109,46303
NC,1/1/2015,0.109,48680
NC,1/1/2014,,35050
NC,1/1/2015,,39481
NC,1/1/2014,0.134,43299
NC,1/1/2015,0.134,46093
NC,1/1/2014,0.061,31253
NC,1/1/2015,0.061,32597
NC,1/1/2014,0.129,44998
NC,1/1/2015,0.129,45257
NC,1/1/2014,0.132,40022
NC,1/1/2015,0.132,39320
NC,1/1/2014,0.107,45168
NC,1/1/2015,0.107,44561
NC,1/1/2014,,31861
NC,1/1/2015,,33616
NC,1/1/2014,0.11,44717
NC,1/1/2015,0.11,43987
NC,1/1/2014,,35301
NC,1/1/2015,,36681
NC,1/1/2014,0.159,49666
NC,1/1/2015,0.159,49983
NC,1/1/2014,0.154,37049
NC,1/1/2015,0.154,40511
NC,1/1/2014,0.179,48773
NC,1/1/2015,0.179,50904
NC,1/1/2014,,35159
NC,1/1/2015,,39602
NC,1/1/2014,0.095,43424
NC,1/1/2015,0.095,48061
NC,1/1/2014,0.081,35634
NC,1/1/2015,0.081,34127
NC,1/1/2014,0.12,47799
NC,1/1/2015,0.12,50537
NC,1/1/2014,0.11,36438
NC,1/1/2015,0.11,37219
NC,1/1/2014,,37644
NC,1/1/2015,,37479
NC,1/1/2014,,33159
NC,1/1/2015,,34761
NC,1/1/2014,0.071,36584
NC,1/1/2015,0.071,36840
NC,1/1/2014,0.156,55392
NC,1/1/2015,0.156,54657
NC,1/1/2014,,36210
NC,1/1/2015,,38303
NC,1/1/2014,,35272
NC,1/1/2015,,35613
NC,1/1/2014,0.138,49670
NC,1/1/2015,0.138,50169
NC,1/1/2014,0.161,40937
NC,1/1/2015,0.161,41575
NC,1/1/2014,0.183,50890
NC,1/1/2015,0.183,48651
NC,1/1/2014,,31217
NC,1/1/2015,,31732
NC,1/1/2014,0.175,44263
NC,1/1/2015,0.175,45213
NC,1/1/2014,0.155,53026
NC,1/1/2015,0.155,59472
NC,1/1/2014,,41004
NC,1/1/2015,,43517
NC,1/1/2014,0.152,43935
NC,1/1/2015,0.152,40094
NC,1/1/2014,0.175,43318
NC,1/1/2015,0.175,44949
NC,1/1/2014,,42494
NC,1/1/2015,,42504
NC,1/1/2014,,42546
NC,1/1/2015,,42091
NC,1/1/2014,0.127,39343
NC,1/1/2015,0.127,40940
NC,1/1/2014,0.14,41719
NC,1/1/2015,0.14,43665
NC,1/1/2014,0.11,41815
NC,1/1/2015,0.11,40896
NC,1/1/2014,0.079,30726
NC,1/1/2015,0.079,32825
NC,1/1/2014,0.085,29965
NC,1/1/2015,0.085,30248
NC,1/1/2014,0.157,37577
NC,1/1/2015,0.157,40446
NC,1/1/2014,0.101,40400
NC,1/1/2015,0.101,41475
NC,1/1/2014,0.092,34193
NC,1/1/2015,0.092,35544
NC,1/1/2014,0.114,37420
NC,1/1/2015,0.114,35890
NC,1/1/2014,0.086,31704
NC,1/1/2015,0.086,32314
NC,1/1/2014,0.145,42816
NC,1/1/2015,0.145,42801
NC,1/1/2014,0.22,42272
NC,1/1/2015,0.22,44552
NC,1/1/2014,,36934
NC,1/1/2015,,36221
NC,1/1/2014,0.151,36280
NC,1/1/2015,0.151,34552
NC,1/1/2014,,40642
NC,1/1/2015,,40578
NC,1/1/2014,,30728
NC,1/1/2015,,32642
NC,1/1/2014,0.14,61260
NC,1/1/2015,0.14,63912
NC,1/1/2014,0.077,34371
NC,1/1/2015,0.077,35565
NC,1/1/2014,0.15,64107
NC,1/1/2015,0.15,65433
NC,1/1/2014,,33068
NC,1/1/2015,,33767
NC,1/1/2014,,32545
NC,1/1/2015,,31596
NC,1/1/2014,0.146,38563
NC,1/1/2015,0.146,38380
NC,1/1/2014,0.099,38776
NC,1/1/2015,0.099,41526
NC,1/1/2014,0.086,35362
NC,1/1/2015,0.086,35895
NC,1/1/2014,,37440
NC,1/1/2015,,40772
NC,1/1/2014,,40012
NC,1/1/2015,,40998
NC,1/1/2014,0.062,36019
NC,1/1/2015,0.062,35866
ND,1/1/2014,0.168,45829
ND,1/1/2015,0.168,44833
ND,1/1/2014,0.168,50820
ND,1/1/2015,0.168,52035
ND,1/1/2014,0.214,36435
ND,1/1/2015,0.214,42326
ND,1/1/2014,0.238,50756
ND,1/1/2015,0.238,61279
ND,1/1/2014,0.204,56238
ND,1/1/2015,0.204,60429
ND,1/1/2014,0.238,53347
ND,1/1/2015,0.238,60416
ND,1/1/2014,0.192,62104
ND,1/1/2015,0.192,63503
ND,1/1/2014,0.212,51995
ND,1/1/2015,0.212,53077
ND,1/1/2014,0.2,56685
ND,1/1/2015,0.2,53577
ND,1/1/2014,0.265,50978
ND,1/1/2015,0.265,52414
ND,1/1/2014,0.271,53885
ND,1/1/2015,0.271,63616
ND,1/1/2014,0.219,62424
ND,1/1/2015,0.219,69914
ND,1/1/2014,0.235,42908
ND,1/1/2015,0.235,46875
ND,1/1/2014,0.186,42018
ND,1/1/2015,0.186,43438
ND,1/1/2014,0.266,49499
ND,1/1/2015,0.266,55172
ND,1/1/2015,0.205,48103
ND,1/1/2014,0.199,44376
ND,1/1/2015,0.199,49697
ND,1/1/2014,0.359,38524
ND,1/1/2014,0.18,45679
ND,1/1/2015,0.18,50570
ND,1/1/2014,0.151,48179
ND,1/1/2015,0.151,60171
ND,1/1/2014,0.19,40749
ND,1/1/2015,0.19,47390
ND,1/1/2014,0.139,55359
ND,1/1/2015,0.139,55388
ND,1/1/2015,0.202,48520
ND,1/1/2014,0.26,44266
ND,1/1/2015,0.26,49078
ND,1/1/2014,0.202,40068
ND,1/1/2015,0.202,40540
ND,1/1/2014,0.332,67995
ND,1/1/2015,0.332,75699
ND,1/1/2014,0.194,52584
ND,1/1/2015,0.194,53604
ND,1/1/2014,0.187,64477
ND,1/1/2015,0.187,70150
ND,1/1/2014,0.219,54909
ND,1/1/2015,0.219,59650
ND,1/1/2014,0.192,59583
ND,1/1/2015,0.192,65546
ND,1/1/2014,0.233,46292
ND,1/1/2015,0.233,55915
ND,1/1/2014,0.236,48649
ND,1/1/2015,0.236,53983
ND,1/1/2014,0.232,43499
ND,1/1/2015,0.232,44585
ND,1/1/2014,0.292,50457
ND,1/1/2015,0.292,49299
ND,1/1/2014,0.239,51628
